Ref_Date,GEO,LEVEL,SEX,STATS,Vector,Coordinate,Value
2010,Canada,Master's,Males,75th percentile,v88834083,1.3.2.3,100000.00
2000,Canada,Master's,Females,25th percentile,v88834084,1.3.3.1,39000.00
2005,Canada,Master's,Females,25th percentile,v88834084,1.3.3.1,45000.00
2010,Canada,Master's,Females,25th percentile,v88834084,1.3.3.1,50700.00
2000,Canada,Master's,Females,Median,v88834085,1.3.3.2,50000.00
2005,Canada,Master's,Females,Median,v88834085,1.3.3.2,58000.00
2010,Canada,Master's,Females,Median,v88834085,1.3.3.2,65000.00
2000,Canada,Master's,Females,75th percentile,v88834086,1.3.3.3,60000.00
2005,Canada,Master's,Females,75th percentile,v88834086,1.3.3.3,72000.00
2010,Canada,Master's,Females,75th percentile,v88834086,1.3.3.3,81000.00
2000,Canada,Doctorate,Both sexes,25th percentile,v88834087,1.4.1.1,43500.00
2005,Canada,Doctorate,Both sexes,25th percentile,v88834087,1.4.1.1,48000.00
2010,Canada,Doctorate,Both sexes,25th percentile,v88834087,1.4.1.1,57000.00
2000,Canada,Doctorate,Both sexes,Median,v88834088,1.4.1.2,56100.00
2005,Canada,Doctorate,Both sexes,Median,v88834088,1.4.1.2,65000.00
2010,Canada,Doctorate,Both sexes,Median,v88834088,1.4.1.2,75000.00
2000,Canada,Doctorate,Both sexes,75th percentile,v88834089,1.4.1.3,71500.00
2005,Canada,Doctorate,Both sexes,75th percentile,v88834089,1.4.1.3,78000.00
2010,Canada,Doctorate,Both sexes,75th percentile,v88834089,1.4.1.3,96000.00
2000,Canada,Doctorate,Males,25th percentile,v88834090,1.4.2.1,45000.00
2005,Canada,Doctorate,Males,25th percentile,v88834090,1.4.2.1,47000.00
2010,Canada,Doctorate,Males,25th percentile,v88834090,1.4.2.1,56000.00
2000,Canada,Doctorate,Males,Median,v88834091,1.4.2.2,57800.00
2005,Canada,Doctorate,Males,Median,v88834091,1.4.2.2,65000.00
2010,Canada,Doctorate,Males,Median,v88834091,1.4.2.2,76000.00
2000,Canada,Doctorate,Males,75th percentile,v88834092,1.4.2.3,73000.00
2005,Canada,Doctorate,Males,75th percentile,v88834092,1.4.2.3,80000.00
2010,Canada,Doctorate,Males,75th percentile,v88834092,1.4.2.3,99000.00
2000,Canada,Doctorate,Females,25th percentile,v88834093,1.4.3.1,42000.00
2005,Canada,Doctorate,Females,25th percentile,v88834093,1.4.3.1,49400.00
2010,Canada,Doctorate,Females,25th percentile,v88834093,1.4.3.1,58200.00
2000,Canada,Doctorate,Females,Median,v88834094,1.4.3.2,55000.00
2005,Canada,Doctorate,Females,Median,v88834094,1.4.3.2,63000.00
2010,Canada,Doctorate,Females,Median,v88834094,1.4.3.2,74200.00
2000,Canada,Doctorate,Females,75th percentile,v88834095,1.4.3.3,68000.00
2005,Canada,Doctorate,Females,75th percentile,v88834095,1.4.3.3,77400.00
2010,Canada,Doctorate,Females,75th percentile,v88834095,1.4.3.3,95000.00
2000,Newfoundland and Labrador,College,Both sexes,25th percentile,v88834096,2.1.1.1,20800.00
2005,Newfoundland and Labrador,College,Both sexes,25th percentile,v88834096,2.1.1.1,23200.00
2010,Newfoundland and Labrador,College,Both sexes,25th percentile,v88834096,2.1.1.1,38800.00
2000,Newfoundland and Labrador,College,Both sexes,Median,v88834097,2.1.1.2,28800.00
2005,Newfoundland and Labrador,College,Both sexes,Median,v88834097,2.1.1.2,33600.00
2010,Newfoundland and Labrador,College,Both sexes,Median,v88834097,2.1.1.2,52000.00
2000,Newfoundland and Labrador,College,Both sexes,75th percentile,v88834098,2.1.1.3,39000.00
2005,Newfoundland and Labrador,College,Both sexes,75th percentile,v88834098,2.1.1.3,49800.00
2010,Newfoundland and Labrador,College,Both sexes,75th percentile,v88834098,2.1.1.3,74300.00
2000,Newfoundland and Labrador,College,Males,25th percentile,v88834099,2.1.2.1,26700.00
2005,Newfoundland and Labrador,College,Males,25th percentile,v88834099,2.1.2.1,31700.00
2010,Newfoundland and Labrador,College,Males,25th percentile,v88834099,2.1.2.1,45000.00
2000,Newfoundland and Labrador,College,Males,Median,v88834100,2.1.2.2,35000.00
2005,Newfoundland and Labrador,College,Males,Median,v88834100,2.1.2.2,45000.00
2010,Newfoundland and Labrador,College,Males,Median,v88834100,2.1.2.2,59800.00
2000,Newfoundland and Labrador,College,Males,75th percentile,v88834101,2.1.2.3,44200.00
2005,Newfoundland and Labrador,College,Males,75th percentile,v88834101,2.1.2.3,60000.00
2010,Newfoundland and Labrador,College,Males,75th percentile,v88834101,2.1.2.3,78100.00
2000,Newfoundland and Labrador,College,Females,25th percentile,v88834102,2.1.3.1,16600.00
2005,Newfoundland and Labrador,College,Females,25th percentile,v88834102,2.1.3.1,20800.00
2010,Newfoundland and Labrador,College,Females,25th percentile,v88834102,2.1.3.1,33600.00
2000,Newfoundland and Labrador,College,Females,Median,v88834103,2.1.3.2,23400.00
2005,Newfoundland and Labrador,College,Females,Median,v88834103,2.1.3.2,30400.00
2010,Newfoundland and Labrador,College,Females,Median,v88834103,2.1.3.2,43200.00
2000,Newfoundland and Labrador,College,Females,75th percentile,v88834104,2.1.3.3,29100.00
2005,Newfoundland and Labrador,College,Females,75th percentile,v88834104,2.1.3.3,40000.00
2010,Newfoundland and Labrador,College,Females,75th percentile,v88834104,2.1.3.3,54000.00
2000,Newfoundland and Labrador,Bachelor's,Both sexes,25th percentile,v88834105,2.2.1.1,31200.00
2005,Newfoundland and Labrador,Bachelor's,Both sexes,25th percentile,v88834105,2.2.1.1,36000.00
2010,Newfoundland and Labrador,Bachelor's,Both sexes,25th percentile,v88834105,2.2.1.1,49900.00
2000,Newfoundland and Labrador,Bachelor's,Both sexes,Median,v88834106,2.2.1.2,39000.00
2005,Newfoundland and Labrador,Bachelor's,Both sexes,Median,v88834106,2.2.1.2,45000.00
2010,Newfoundland and Labrador,Bachelor's,Both sexes,Median,v88834106,2.2.1.2,67000.00
2000,Newfoundland and Labrador,Bachelor's,Both sexes,75th percentile,v88834107,2.2.1.3,46000.00
2005,Newfoundland and Labrador,Bachelor's,Both sexes,75th percentile,v88834107,2.2.1.3,55000.00
2010,Newfoundland and Labrador,Bachelor's,Both sexes,75th percentile,v88834107,2.2.1.3,75000.00
2000,Newfoundland and Labrador,Bachelor's,Males,25th percentile,v88834108,2.2.2.1,30000.00
2005,Newfoundland and Labrador,Bachelor's,Males,25th percentile,v88834108,2.2.2.1,36400.00
2010,Newfoundland and Labrador,Bachelor's,Males,25th percentile,v88834108,2.2.2.1,52000.00
2000,Newfoundland and Labrador,Bachelor's,Males,Median,v88834109,2.2.2.2,39000.00
2005,Newfoundland and Labrador,Bachelor's,Males,Median,v88834109,2.2.2.2,45100.00
2010,Newfoundland and Labrador,Bachelor's,Males,Median,v88834109,2.2.2.2,70000.00
2000,Newfoundland and Labrador,Bachelor's,Males,75th percentile,v88834110,2.2.2.3,51000.00
2005,Newfoundland and Labrador,Bachelor's,Males,75th percentile,v88834110,2.2.2.3,60300.00
2010,Newfoundland and Labrador,Bachelor's,Males,75th percentile,v88834110,2.2.2.3,88000.00
2000,Newfoundland and Labrador,Bachelor's,Females,25th percentile,v88834111,2.2.3.1,31200.00
2005,Newfoundland and Labrador,Bachelor's,Females,25th percentile,v88834111,2.2.3.1,35000.00
2010,Newfoundland and Labrador,Bachelor's,Females,25th percentile,v88834111,2.2.3.1,49000.00
2000,Newfoundland and Labrador,Bachelor's,Females,Median,v88834112,2.2.3.2,38500.00
2005,Newfoundland and Labrador,Bachelor's,Females,Median,v88834112,2.2.3.2,45000.00
2010,Newfoundland and Labrador,Bachelor's,Females,Median,v88834112,2.2.3.2,65000.00
2000,Newfoundland and Labrador,Bachelor's,Females,75th percentile,v88834113,2.2.3.3,44000.00
2005,Newfoundland and Labrador,Bachelor's,Females,75th percentile,v88834113,2.2.3.3,53000.00
2010,Newfoundland and Labrador,Bachelor's,Females,75th percentile,v88834113,2.2.3.3,72000.00
2000,Newfoundland and Labrador,Master's,Both sexes,25th percentile,v88834114,2.3.1.1,40000.00
2005,Newfoundland and Labrador,Master's,Both sexes,25th percentile,v88834114,2.3.1.1,49400.00
2010,Newfoundland and Labrador,Master's,Both sexes,25th percentile,v88834114,2.3.1.1,60000.00
2000,Newfoundland and Labrador,Master's,Both sexes,Median,v88834115,2.3.1.2,50000.00
2005,Newfoundland and Labrador,Master's,Both sexes,Median,v88834115,2.3.1.2,62000.00
2010,Newfoundland and Labrador,Master's,Both sexes,Median,v88834115,2.3.1.2,78000.00
2000,Newfoundland and Labrador,Master's,Both sexes,75th percentile,v88834116,2.3.1.3,59000.00
2005,Newfoundland and Labrador,Master's,Both sexes,75th percentile,v88834116,2.3.1.3,71000.00
2010,Newfoundland and Labrador,Master's,Both sexes,75th percentile,v88834116,2.3.1.3,89000.00
2000,Newfoundland and Labrador,Master's,Males,25th percentile,v88834117,2.3.2.1,44000.00
2005,Newfoundland and Labrador,Master's,Males,25th percentile,v88834117,2.3.2.1,50700.00
2010,Newfoundland and Labrador,Master's,Males,25th percentile,v88834117,2.3.2.1,68900.00
2000,Newfoundland and Labrador,Master's,Males,Median,v88834118,2.3.2.2,50000.00
2005,Newfoundland and Labrador,Master's,Males,Median,v88834118,2.3.2.2,66000.00
2010,Newfoundland and Labrador,Master's,Males,Median,v88834118,2.3.2.2,85000.00
2000,Newfoundland and Labrador,Master's,Males,75th percentile,v88834119,2.3.2.3,65000.00
2005,Newfoundland and Labrador,Master's,Males,75th percentile,v88834119,2.3.2.3,72000.00
2010,Newfoundland and Labrador,Master's,Males,75th percentile,v88834119,2.3.2.3,93000.00
2000,Newfoundland and Labrador,Master's,Females,25th percentile,v88834120,2.3.3.1,36000.00
2005,Newfoundland and Labrador,Master's,Females,25th percentile,v88834120,2.3.3.1,48300.00
2010,Newfoundland and Labrador,Master's,Females,25th percentile,v88834120,2.3.3.1,52000.00
2000,Newfoundland and Labrador,Master's,Females,Median,v88834121,2.3.3.2,48000.00
2005,Newfoundland and Labrador,Master's,Females,Median,v88834121,2.3.3.2,60000.00
2010,Newfoundland and Labrador,Master's,Females,Median,v88834121,2.3.3.2,76800.00
2000,Newfoundland and Labrador,Master's,Females,75th percentile,v88834122,2.3.3.3,57300.00
2005,Newfoundland and Labrador,Master's,Females,75th percentile,v88834122,2.3.3.3,70000.00
2010,Newfoundland and Labrador,Master's,Females,75th percentile,v88834122,2.3.3.3,86000.00
2000,Newfoundland and Labrador,Doctorate,Both sexes,25th percentile,v88834123,2.4.1.1,x
2005,Newfoundland and Labrador,Doctorate,Both sexes,25th percentile,v88834123,2.4.1.1,x
2010,Newfoundland and Labrador,Doctorate,Both sexes,25th percentile,v88834123,2.4.1.1,x
2000,Newfoundland and Labrador,Doctorate,Both sexes,Median,v88834124,2.4.1.2,x
2005,Newfoundland and Labrador,Doctorate,Both sexes,Median,v88834124,2.4.1.2,x
2010,Newfoundland and Labrador,Doctorate,Both sexes,Median,v88834124,2.4.1.2,72000.00
